!x y z r th V Ex Ey Ez Er Et
702.0 82.0 3.9 706.772947982589 6.66247710659626 -4253.53911443062 -6220.95230987468 -686.478307416389 -535.056625796684 -6258.58665836929 39.9142577314855
702.0 82.5 -3.9 706.831132591088 6.70273343815372 -3351.88464775239 -7042.85702254621 -899.498625828327 361.640458570721 -7099.70746203879 -71.3216051854174
702.0 82.5 -3.7 706.831132591088 6.70273343815372 -3686.61060323847 -6827.26781237178 -772.771999262009 2594.13104276697 -6870.80049292857 29.3756883099166
702.0 82.5 -3.5 706.831132591088 6.70273343815372 -4391.66214345572 -6515.75768674969 -755.49802816466 3786.9731139781 -6559.40332795739 10.1727174337949
702.0 82.5 -3.3 706.831132591088 6.70273343815372 -5268.82346392665 -6258.60695685004 -783.787821337348 4481.36314503117 -6307.31213355906 -47.93786673555
702.0 82.5 -3.1 706.831132591088 6.70273343815372 -6182.91667099269 -6076.3030485867 -794.168746523494 5044.85415997227 -6127.46589955546 -79.5260083480354
702.0 82.5 -2.9 706.831132591088 6.70273343815372 -7138.79900383671 -5882.57558787601 -711.652092038884 5336.77184380971 -5925.43136141847 -20.1848531476324
702.0 82.5 -2.7 706.831132591088 6.70273343815372 -8299.0548272457 -6615.69215879265 -758.785560951553 5443.27982782695 -6659.03847075438 18.5718182280433
702.0 82.5 -2.5 706.831132591088 6.70273343815372 -9380.47100270668 -7149.64213279944 -791.027104190342 5417.49686870168 -7193.10211292328 48.8722797023681
702.0 82.5 -2.3 706.831132591088 6.70273343815372 -10367.483616633 -7646.47461806111 -856.360519211462 4691.70145276829 -7694.16438234347 41.9747661578442
702.0 82.5 -2.1 706.831132591088 6.70273343815372 -11271.323563301 -8002.3637602125 -891.119634539819 3914.38989809565 -8051.67807005911 48.9919376409404
702.0 82.5 -1.9 706.831132591088 6.70273343815372 -11944.7258094748 -7904.43661483602 -879.316129863424 2955.88674459058 -7953.04256579869 49.2848941615612
702.0 82.5 -1.7 706.831132591088 6.70273343815372 -12430.2754134689 -7656.59833336855 -878.571636726124 2259.64565302779 -7706.81134273981 21.0970808069834
702.0 82.5 -1.5 706.831132591088 6.70273343815372 -12899.1393674535 -7472.15547371944 -860.001503997598 1794.28875055971 -7521.46166389429 18.0124646305093
702.0 82.5 -1.3 706.831132591088 6.70273343815372 -13202.5860810522 -7096.182003698 -829.772326431568 1430.71266584762 -7144.52964884907 4.1521121733354
702.0 82.5 -1.1 706.831132591088 6.70273343815372 -13398.9506660497 -6828.72771860526 -800.492512916087 1141.34363084537 -6875.4859070249 2.01503959314876
702.0 82.5 -0.9 706.831132591088 6.70273343815372 -13651.2837598587 -6580.9296660728 -779.391828773791 859.641678706767 -6626.91870162257 -5.95102020022117
702.0 82.5 -0.7 706.831132591088 6.70273343815372 -13802.4107655725 -6473.77866409032 -753.351332693478 611.094583312075 -6517.46067020464 7.40502787057865
702.0 82.5 -0.5 706.831132591088 6.70273343815372 -13897.9806500458 -6305.54942734585 -740.209432039471 461.520152889738 -6348.84736852156 0.821704700803002
702.0 82.5 -0.3 706.831132591088 6.70273343815372 -13957.5763201942 -6199.97357520808 -730.90202703598 317.261685763903 -6242.90677583855 -2.25712047903568
702.0 82.5 -0.0999999999999996 706.831132591088 6.70273343815372 -13992.1221890476 -6156.26919567345 -726.88287425844 155.615320620174 -6199.03200418867 -3.36653123588725
702.0 82.5 0.100000000000001 706.831132591088 6.70273343815372 -14009.3886335266 -6139.70862342424 -735.761345973211 -29.476246300652 -6183.62090060224 -14.1172381642488
702.0 82.5 0.300000000000001 706.831132591088 6.70273343815372 -13987.9780878805 -6152.92246406316 -751.038860414686 -192.133067961713 -6198.52758847169 -27.7480374329324
702.0 82.5 0.5 706.831132591088 6.70273343815372 -13924.8186943425 -6223.22532124175 -751.642040864045 -362.519672850216 -6268.42033349742 -20.1414779679089
702.0 82.5 0.7 706.831132591088 6.70273343815372 -13854.7517076444 -6308.06479479436 -750.813907788632 -535.714000953741 -6352.5832780994 -9.41670137347402
702.0 82.5 0.9 706.831132591088 6.70273343815372 -13759.1375453667 -6493.13590370632 -766.717004239289 -722.42961974148 -6538.24562071906 -3.60994982048424
702.0 82.5 1.1 706.831132591088 6.70273343815372 -13571.4228866957 -6708.64249706371 -789.48612311735 -983.977291145519 -6754.93681297437 -1.06991951224783
702.0 82.5 1.3 706.831132591088 6.70273343815372 -13305.1301573307 -6885.82975741092 -814.17587177026 -1321.62929889466 -6933.79475399936 -4.90995208940428
702.0 82.5 1.5 706.831132591088 6.70273343815372 -13049.4498730584 -7147.37862202705 -848.155503047399 -1673.7686293443 -7197.52199229679 -8.12984397132811
702.0 82.5 1.7 706.831132591088 6.70273343815372 -12615.4195404691 -7382.79081331254 -854.96509421514 -2230.58997020015 -7432.11996330846 12.5839759302201
702.0 82.5 1.9 706.831132591088 6.70273343815372 -12167.6845020719 -7541.85894923639 -856.191221347311 -2779.67054592063 -7590.24399287297 29.9323628383954
702.0 82.5 2.1 706.831132591088 6.70273343815372 -11607.2585062773 -7710.84786350977 -886.205956697881 -3748.93166173443 -7761.58114527369 19.8468438794131
702.0 82.5 2.3 706.831132591088 6.70273343815372 -10704.4152334385 -7257.65099840413 -839.291897458794 -4383.71027666814 -7306.00612269234 13.5439639128144
702.0 82.5 2.5 706.831132591088 6.70273343815372 -9809.60701497717 -6852.46371770646 -793.170063202168 -4849.29611587847 -6898.20500997212 12.0578621255943
702.0 82.5 2.7 706.831132591088 6.70273343815372 -8793.25514317038 -6369.726784865 -729.025555292795 -5215.63800210841 -6411.28071803331 19.4198010004202
702.0 82.5 2.9 706.831132591088 6.70273343815372 -7765.71119781463 -5956.08058000166 -671.514008890713 -5522.27642357422 -5993.749111424 28.258253899537
702.0 82.5 3.1 706.831132591088 6.70273343815372 -6675.92260442042 -5559.25452241298 -632.701988728354 -4957.51309117349 -5595.10526129005 20.4882062264001
702.0 82.5 3.3 706.831132591088 6.70273343815372 -5669.17116268295 -5416.05197525614 -660.617065298173 -4635.78877829599 -5456.13968697102 -23.9504049837586
702.0 82.5 3.5 706.831132591088 6.70273343815372 -4894.63923938859 -5985.64285229243 -730.992750399944 -3763.98217910295 -6030.05157482649 -27.3635025041044
702.0 82.5 3.7 706.831132591088 6.70273343815372 -4242.0250737267 -6859.32179306764 -754.45624967563 -2715.61322436715 -6900.49760747228 51.3075315780807
702.0 82.5 3.9 706.831132591088 6.70273343815372 -3941.57781216619 -6792.81488891627 -765.897773027671 -859.957604720655 -6835.78070561479 32.1816493662103
702.0 83.0 -3.9 706.889666072436 6.74298312278574 -2818.76512900773 -8354.06771802834 -935.77786299534 1078.05214339823 -8406.15641433864 51.5944178053467
702.0 83.0 -3.7 706.889666072436 6.74298312278574 -3189.57002221287 -7325.94894726977 -839.014405466817 3095.85829796133 -7373.78774483739 26.9711822095476
702.0 83.0 -3.5 706.889666072436 6.74298312278574 -3945.58279228732 -6802.23042562186 -782.800875122517 4149.85760295414 -6847.0915104957 21.3030572002507
702.0 83.0 -3.3 706.889666072436 6.74298312278574 -4890.36096713743 -6534.37510634548 -749.202856268893 4624.82886313624 -6577.14405072152 23.2182326516428
702.0 83.0 -3.1 706.889666072436 6.74298312278574 -5819.97195371541 -6147.18611525837 -706.058831048079 5092.33329429811 -6187.56751699375 20.6017273552848
702.0 83.0 -2.9 706.889666072436 6.74298312278574 -6822.77497917304 -6186.3672593142 -712.029082838958 5161.25341448742 -6227.17864072317 19.2732572338016
702.0 83.0 -2.7 706.889666072436 6.74298312278574 -7909.36416364917 -6409.8458589983 -736.905780122386 5499.31648073487 -6452.03232083974 20.8085495614487
702.0 83.0 -2.5 706.889666072436 6.74298312278574 -9059.51455887898 -7209.01598936825 -827.169594336475 5225.69220757104 -7256.27286273106 25.0042867249214
702.0 83.0 -2.3 706.889666072436 6.74298312278574 -10025.7159542035 -7671.20709532285 -896.166853426216 4685.61480029882 -7723.36828756465 10.7528206612852
